Vehicle,Date,Alert,Count,T,DP,T-DP,H,WS
5339,31/08/2022,cas_hmw,156,83.8,79.8,4,87.8,5.5
5339,30/08/2022,cas_hmw,39,86.6,80.3,6.3,81.3,5.9
5339,29/08/2022,cas_hmw,101,85,79.9,5.1,84.7,4.9
5339,26/08/2022,cas_hmw,28,83.5,79.2,4.3,87.5,6.5
5339,25/08/2022,cas_hmw,70,83.7,79.6,4.1,87.3,5.8
5339,24/08/2022,cas_hmw,129,86.8,79.8,7,79.9,8.2
5339,23/08/2022,cas_hmw,94,87.2,79.3,7.9,78.1,11.1
5339,22/08/2022,cas_hmw,84,85.4,79.2,6.2,82.3,9.9
5339,19/08/2022,cas_hmw,149,89.3,80.9,8.4,76,7.2
5339,18/08/2022,cas_hmw,118,83.7,79.5,4.2,87,7.5
5339,17/08/2022,cas_hmw,133,86.1,80,6.1,82.4,9.5
5339,16/08/2022,cas_hmw,103,87.8,80.8,7,79.9,10.3
5339,15/08/2022,cas_hmw,117,88.3,79.5,8.8,75.5,8.7
5339,14/08/2022,cas_hmw,129,88.5,77.2,11.3,69.8,9.4
5339,12/08/2022,cas_hmw,175,90.8,76.9,13.9,64.6,10.8
5339,11/08/2022,cas_hmw,92,90.4,76.2,14.2,64.3,10.6
5339,10/08/2022,cas_hmw,89,90,74.4,15.6,61.2,11.6
5339,09/08/2022,cas_hmw,95,89.5,75,14.5,63.1,12.3
5339,08/08/2022,cas_hmw,90,88.9,76.8,12.1,67.9,11.1
5339,05/08/2022,cas_hmw,110,85.3,78.1,7.2,79.7,10.5
5339,04/08/2022,cas_hmw,107,83.9,79.8,4.1,87,7
5339,03/08/2022,cas_hmw,78,83.5,80.1,3.4,88.7,4.3
5339,02/08/2022,cas_hmw,92,85.6,80.3,5.3,84.1,5.4
5339,01/07/2022,cas_hmw,117,87.9,80,7.9,77.9,9.7
5339,30/06/2022,cas_hmw,147,89.5,79.6,9.9,73,10.5
5339,29/06/2022,cas_hmw,92,88,80.1,7.9,77.8,7.8
5339,28/06/2022,cas_hmw,92,87.7,79.6,8.1,76.7,7.6
5339,27/06/2022,cas_hmw,135,87.5,78.5,9,74.8,8.7
5339,25/06/2022,cas_hmw,202,88.9,76.9,12,67.8,10
5339,24/06/2022,cas_hmw,128,89.1,80.2,8.9,75.5,8.8
5339,23/06/2022,cas_hmw,148,87.1,80.7,6.4,81.3,6.3
5339,21/06/2022,cas_hmw,177,84.2,79.4,4.8,86.5,6.8
5339,20/06/2022,cas_hmw,78,85.2,79.6,5.6,84.1,8.3
5339,17/06/2022,cas_hmw,149,87.9,80.5,7.4,78.3,9.4
5339,16/06/2022,cas_hmw,167,88.7,80.4,8.3,76.5,8.3
5339,15/06/2022,cas_hmw,78,88.2,78.5,9.7,73.1,9.5
5339,14/06/2022,cas_hmw,1,90.1,80.2,9.9,73.6,10.4
5339,11/06/2022,cas_hmw,8,90.2,79.1,11.1,71.4,10.1
5339,04/06/2022,cas_hmw,8,90.5,79.6,10.9,71.6,8.6
5339,02/06/2022,cas_hmw,9,92.4,80.2,12.2,68,9.1
5339,01/06/2022,cas_hmw,3,92.9,79.9,13,66.9,9.7
3143,31/08/2022,cas_hmw,23,83.8,79.8,4,87.8,5.5
3143,30/08/2022,cas_hmw,80,86.6,80.3,6.3,81.3,5.9
3143,29/08/2022,cas_hmw,60,85,79.9,5.1,84.7,4.9
3143,25/08/2022,cas_hmw,80,83.7,79.6,4.1,87.3,5.8
3143,24/08/2022,cas_hmw,67,86.8,79.8,7,79.9,8.2
3143,23/08/2022,cas_hmw,52,87.2,79.3,7.9,78.1,11.1
3143,22/08/2022,cas_hmw,72,85.4,79.2,6.2,82.3,9.9
3143,19/08/2022,cas_hmw,93,89.3,80.9,8.4,76,7.2
3143,18/08/2022,cas_hmw,45,83.7,79.5,4.2,87,7.5
3143,17/08/2022,cas_hmw,89,86.1,80,6.1,82.4,9.5
3143,16/08/2022,cas_hmw,67,87.8,80.8,7,79.9,10.3
3143,15/08/2022,cas_hmw,32,88.3,79.5,8.8,75.5,8.7
3143,13/08/2022,cas_hmw,1,89.9,77,12.9,66.8,10
3143,12/08/2022,cas_hmw,79,90.8,76.9,13.9,64.6,10.8
3143,11/08/2022,cas_hmw,59,90.4,76.2,14.2,64.3,10.6
3143,10/08/2022,cas_hmw,115,90,74.4,15.6,61.2,11.6
3143,09/08/2022,cas_hmw,106,89.5,75,14.5,63.1,12.3
3143,08/08/2022,cas_hmw,90,88.9,76.8,12.1,67.9,11.1
3143,06/08/2022,cas_hmw,42,85.6,77.1,8.5,76,11.1
3143,05/08/2022,cas_hmw,58,85.3,78.1,7.2,79.7,10.5
3143,04/08/2022,cas_hmw,65,83.9,79.8,4.1,87,7
3143,03/08/2022,cas_hmw,50,83.5,80.1,3.4,88.7,4.3
3143,02/08/2022,cas_hmw,80,85.6,80.3,5.3,84.1,5.4
3143,09/06/2022,cas_hmw,7,91.7,79.3,12.4,68.1,11.1
3143,08/06/2022,cas_hmw,23,92.7,79.7,13,66.9,11
3143,06/06/2022,cas_hmw,32,87.2,77.8,9.4,74,10.8
2846,23/08/2022,cas_hmw,47,87.2,79.3,7.9,78.1,11.1
2846,22/08/2022,cas_hmw,60,85.4,79.2,6.2,82.3,9.9
2846,19/08/2022,cas_hmw,51,89.3,80.9,8.4,76,7.2
2846,18/08/2022,cas_hmw,35,83.7,79.5,4.2,87,7.5
2846,17/08/2022,cas_hmw,50,86.1,80,6.1,82.4,9.5
2846,16/08/2022,cas_hmw,36,87.8,80.8,7,79.9,10.3
2846,15/08/2022,cas_hmw,45,88.3,79.5,8.8,75.5,8.7
2846,12/08/2022,cas_hmw,36,90.8,76.9,13.9,64.6,10.8
2846,11/08/2022,cas_hmw,57,90.4,76.2,14.2,64.3,10.6
2846,10/08/2022,cas_hmw,33,90,74.4,15.6,61.2,11.6
2846,09/08/2022,cas_hmw,37,89.5,75,14.5,63.1,12.3
2846,08/08/2022,cas_hmw,38,88.9,76.8,12.1,67.9,11.1
2846,05/08/2022,cas_hmw,42,85.3,78.1,7.2,79.7,10.5
2846,04/08/2022,cas_hmw,41,83.9,79.8,4.1,87,7
2846,03/08/2022,cas_hmw,42,83.5,80.1,3.4,88.7,4.3
2846,02/08/2022,cas_hmw,40,85.6,80.3,5.3,84.1,5.4
2846,01/07/2022,cas_hmw,47,87.9,80,7.9,77.9,9.7
2846,30/06/2022,cas_hmw,41,89.5,79.6,9.9,73,10.5
2846,29/06/2022,cas_hmw,51,88,80.1,7.9,77.8,7.8
2846,28/06/2022,cas_hmw,47,87.7,79.6,8.1,76.7,7.6
2846,27/06/2022,cas_hmw,48,87.5,78.5,9,74.8,8.7
2846,25/06/2022,cas_hmw,42,88.9,76.9,12,67.8,10
2846,24/06/2022,cas_hmw,32,89.1,80.2,8.9,75.5,8.8
2846,23/06/2022,cas_hmw,37,87.1,80.7,6.4,81.3,6.3
2846,21/06/2022,cas_hmw,63,84.2,79.4,4.8,86.5,6.8
2846,20/06/2022,cas_hmw,60,85.2,79.6,5.6,84.1,8.3
2846,17/06/2022,cas_hmw,41,87.9,80.5,7.4,78.3,9.4
2846,16/06/2022,cas_hmw,35,88.7,80.4,8.3,76.5,8.3
2846,15/06/2022,cas_hmw,50,88.2,78.5,9.7,73.1,9.5
2846,14/06/2022,cas_hmw,33,90.1,80.2,9.9,73.6,10.4
2846,13/06/2022,cas_hmw,15,89.7,79.1,10.6,71.5,9.1
2846,11/06/2022,cas_hmw,81,90.2,79.1,11.1,71.4,10.1
2846,10/06/2022,cas_hmw,106,92.3,78.9,13.4,67.2,12
2846,09/06/2022,cas_hmw,129,91.7,79.3,12.4,68.1,11.1
2846,08/06/2022,cas_hmw,70,92.7,79.7,13,66.9,11
