Vehicle,Date,Alert,Count,T,DP,T-DP,H,WS
5339,30/08/2022,cas_ldw,13,86.6,80.3,6.3,81.3,5.9
5339,29/08/2022,cas_ldw,11,85,79.9,5.1,84.7,4.9
5339,26/08/2022,cas_ldw,20,83.5,79.2,4.3,87.5,6.5
5339,25/08/2022,cas_ldw,7,83.7,79.6,4.1,87.3,5.8
5339,24/08/2022,cas_ldw,23,86.8,79.8,7,79.9,8.2
5339,23/08/2022,cas_ldw,13,87.2,79.3,7.9,78.1,11.1
5339,22/08/2022,cas_ldw,8,85.4,79.2,6.2,82.3,9.9
5339,19/08/2022,cas_ldw,23,89.3,80.9,8.4,76,7.2
5339,18/08/2022,cas_ldw,22,83.7,79.5,4.2,87,7.5
5339,17/08/2022,cas_ldw,11,86.1,80,6.1,82.4,9.5
5339,16/08/2022,cas_ldw,9,87.8,80.8,7,79.9,10.3
5339,15/08/2022,cas_ldw,21,88.3,79.5,8.8,75.5,8.7
5339,14/08/2022,cas_ldw,33,88.5,77.2,11.3,69.8,9.4
5339,12/08/2022,cas_ldw,27,90.8,76.9,13.9,64.6,10.8
5339,11/08/2022,cas_ldw,10,90.4,76.2,14.2,64.3,10.6
5339,10/08/2022,cas_ldw,24,90,74.4,15.6,61.2,11.6
5339,09/08/2022,cas_ldw,17,89.5,75,14.5,63.1,12.3
5339,08/08/2022,cas_ldw,13,88.9,76.8,12.1,67.9,11.1
5339,05/08/2022,cas_ldw,25,85.3,78.1,7.2,79.7,10.5
5339,04/08/2022,cas_ldw,21,83.9,79.8,4.1,87,7
5339,03/08/2022,cas_ldw,1,83.5,80.1,3.4,88.7,4.3
5339,02/08/2022,cas_ldw,10,85.6,80.3,5.3,84.1,5.4
5339,01/07/2022,cas_ldw,16,87.9,80,7.9,77.9,9.7
5339,30/06/2022,cas_ldw,28,89.5,79.6,9.9,73,10.5
5339,29/06/2022,cas_ldw,12,88,80.1,7.9,77.8,7.8
5339,28/06/2022,cas_ldw,17,87.7,79.6,8.1,76.7,7.6
5339,27/06/2022,cas_ldw,24,87.5,78.5,9,74.8,8.7
5339,25/06/2022,cas_ldw,24,88.9,76.9,12,67.8,10
5339,24/06/2022,cas_ldw,24,89.1,80.2,8.9,75.5,8.8
5339,23/06/2022,cas_ldw,25,87.1,80.7,6.4,81.3,6.3
5339,21/06/2022,cas_ldw,35,84.2,79.4,4.8,86.5,6.8
5339,20/06/2022,cas_ldw,23,85.2,79.6,5.6,84.1,8.3
5339,17/06/2022,cas_ldw,14,87.9,80.5,7.4,78.3,9.4
5339,16/06/2022,cas_ldw,29,88.7,80.4,8.3,76.5,8.3
5339,15/06/2022,cas_ldw,17,88.2,78.5,9.7,73.1,9.5
5339,14/06/2022,cas_ldw,21,90.1,80.2,9.9,73.6,10.4
5339,11/06/2022,cas_ldw,10,90.2,79.1,11.1,71.4,10.1
5339,04/06/2022,cas_ldw,8,90.5,79.6,10.9,71.6,8.6
5339,02/06/2022,cas_ldw,13,92.4,80.2,12.2,68,9.1
5339,01/06/2022,cas_ldw,6,92.9,79.9,13,66.9,9.7
3143,31/08/2022,cas_ldw,9,83.8,79.8,4,87.8,5.5
3143,30/08/2022,cas_ldw,23,86.6,80.3,6.3,81.3,5.9
3143,29/08/2022,cas_ldw,27,85,79.9,5.1,84.7,4.9
3143,25/08/2022,cas_ldw,53,83.7,79.6,4.1,87.3,5.8
3143,24/08/2022,cas_ldw,16,86.8,79.8,7,79.9,8.2
3143,23/08/2022,cas_ldw,14,87.2,79.3,7.9,78.1,11.1
3143,22/08/2022,cas_ldw,27,85.4,79.2,6.2,82.3,9.9
3143,19/08/2022,cas_ldw,25,89.3,80.9,8.4,76,7.2
3143,18/08/2022,cas_ldw,23,83.7,79.5,4.2,87,7.5
3143,17/08/2022,cas_ldw,16,86.1,80,6.1,82.4,9.5
3143,16/08/2022,cas_ldw,28,87.8,80.8,7,79.9,10.3
3143,15/08/2022,cas_ldw,37,88.3,79.5,8.8,75.5,8.7
3143,13/08/2022,cas_ldw,21,89.9,77,12.9,66.8,10
3143,12/08/2022,cas_ldw,20,90.8,76.9,13.9,64.6,10.8
3143,11/08/2022,cas_ldw,27,90.4,76.2,14.2,64.3,10.6
3143,10/08/2022,cas_ldw,40,90,74.4,15.6,61.2,11.6
3143,09/08/2022,cas_ldw,60,89.5,75,14.5,63.1,12.3
3143,08/08/2022,cas_ldw,40,88.9,76.8,12.1,67.9,11.1
3143,06/08/2022,cas_ldw,100,85.6,77.1,8.5,76,11.1
3143,05/08/2022,cas_ldw,53,85.3,78.1,7.2,79.7,10.5
3143,04/08/2022,cas_ldw,47,83.9,79.8,4.1,87,7
3143,03/08/2022,cas_ldw,48,83.5,80.1,3.4,88.7,4.3
3143,02/08/2022,cas_ldw,57,85.6,80.3,5.3,84.1,5.4
3143,09/06/2022,cas_ldw,19,91.7,79.3,12.4,68.1,11.1
3143,08/06/2022,cas_ldw,34,92.7,79.7,13,66.9,11
3143,06/06/2022,cas_ldw,12,87.2,77.8,9.4,74,10.8
2846,23/08/2022,cas_ldw,59,87.2,79.3,7.9,78.1,11.1
2846,22/08/2022,cas_ldw,76,85.4,79.2,6.2,82.3,9.9
2846,19/08/2022,cas_ldw,95,89.3,80.9,8.4,76,7.2
2846,18/08/2022,cas_ldw,63,83.7,79.5,4.2,87,7.5
2846,17/08/2022,cas_ldw,48,86.1,80,6.1,82.4,9.5
2846,16/08/2022,cas_ldw,50,87.8,80.8,7,79.9,10.3
2846,15/08/2022,cas_ldw,55,88.3,79.5,8.8,75.5,8.7
2846,12/08/2022,cas_ldw,76,90.8,76.9,13.9,64.6,10.8
2846,11/08/2022,cas_ldw,56,90.4,76.2,14.2,64.3,10.6
2846,10/08/2022,cas_ldw,68,90,74.4,15.6,61.2,11.6
2846,09/08/2022,cas_ldw,66,89.5,75,14.5,63.1,12.3
2846,08/08/2022,cas_ldw,65,88.9,76.8,12.1,67.9,11.1
2846,05/08/2022,cas_ldw,46,85.3,78.1,7.2,79.7,10.5
2846,04/08/2022,cas_ldw,52,83.9,79.8,4.1,87,7
2846,03/08/2022,cas_ldw,57,83.5,80.1,3.4,88.7,4.3
2846,02/08/2022,cas_ldw,37,85.6,80.3,5.3,84.1,5.4
2846,01/07/2022,cas_ldw,70,87.9,80,7.9,77.9,9.7
2846,30/06/2022,cas_ldw,50,89.5,79.6,9.9,73,10.5
2846,29/06/2022,cas_ldw,59,88,80.1,7.9,77.8,7.8
2846,28/06/2022,cas_ldw,54,87.7,79.6,8.1,76.7,7.6
2846,27/06/2022,cas_ldw,66,87.5,78.5,9,74.8,8.7
2846,25/06/2022,cas_ldw,78,88.9,76.9,12,67.8,10
2846,24/06/2022,cas_ldw,68,89.1,80.2,8.9,75.5,8.8
2846,23/06/2022,cas_ldw,59,87.1,80.7,6.4,81.3,6.3
2846,22/06/2022,cas_ldw,3,87.6,80.4,7.2,79,7.9
2846,21/06/2022,cas_ldw,209,84.2,79.4,4.8,86.5,6.8
2846,20/06/2022,cas_ldw,189,85.2,79.6,5.6,84.1,8.3
2846,17/06/2022,cas_ldw,98,87.9,80.5,7.4,78.3,9.4
2846,16/06/2022,cas_ldw,113,88.7,80.4,8.3,76.5,8.3
2846,15/06/2022,cas_ldw,164,88.2,78.5,9.7,73.1,9.5
2846,14/06/2022,cas_ldw,111,90.1,80.2,9.9,73.6,10.4
2846,13/06/2022,cas_ldw,83,89.7,79.1,10.6,71.5,9.1
