X,Y,objectid,health_facility_name,address,street,landmark,locality,posatalcode,landline_number,facility_type,state_name,district_name,taluka_name,block_name,lat,lon,altitude,,,,
80.277719,13.081089,19202,RAJIVGANDHI GOVT.GENERAL HOSPITAL  MCH,General Hospital Rd,Park Town,Central Railway Station,Central,600003,,Medical Colleges Hospital,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.081089,80.277719,10.02,,,,
80.233987,13.070108,19232,KILPAUK UHP,1,Temple Street,Perumal Kovil,New Avadi Road Kipauk,600010,26600105,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.070108,80.233987,11.31,,,,
80.275224,13.029925,19234,SANTHOME UHP,14A,"APPU 2nd LANE,Mylapore,Chennai-04.",Santhome IOB,Mylapore,600004,24640230,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.029925,80.275224,9.21,,,,
80.25961,13.01782,19235,NEHRU NAGAR UHP,17,sathyamoorthy nagar,near sathyamoorthy nagar Park,vyasarpadi,600039,26731855,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IV,13.01782,80.25961,8.54,,,,
80.245294,13.075499,19236,MANGALAPURAM UHP,U.F.W,"8th Street,Magalapuram",Amma Unavagam,Chetpet,600031,28362021,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.075499,80.245294,10.08,,,,
80.246436,13.002852,19237,VHS UHP,VHS multispeciality Hospital,Rajiv Gandhi Salai,Madhyakailesh Temple,Tharamani,600113,22542971,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,13.002852,80.246436,6.57,,,,
80.262727,13.084864,19239,PERIYAR THIDAL UHP,50,"E.V.K Sampth Salai ,Vepery",Dhina Thanthi Office,EVK Sampath Salai,600007,26618416,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE V,13.084864,80.262727,11,,,,
80.267338,13.021331,19240,R.A.PURAM UHP,17,R.K nagar IInd Main Road,Near Mandaveli Bus Stand,Mandavelli,600028,24939364,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.021331,80.267338,8.04,,,,
80.238766,13.058033,19241,PUSHPA NAGAR UHP,1,Pushpa Nagar Nain Road,Coroporation Boys school,Nungambakkam,600034,28173701,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.058033,80.238766,12,,,,
80.218052,13.068576,19242,AMINJIKARAI EAST UHP,,Collectrate Colony 6th Street,Ampa Mall,Aminjikarai,600029,23744393,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.068576,80.218052,12,,,,
80.260202,13.055149,19243,ZAMBAZAR UHP,10,ROB 6th Street,opposite to New college,Royapeetah,600014,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.055149,80.260202,10.48,,,,
80.266311,13.054097,19244,KRISHNAMPET UHP,55/1,"LLYODS Road, Royapettah,Ch-14",Meceapuram Main Street,Royapeetah,600005,28442821,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.054097,80.266311,10.48,,,,
80.226082,13.058374,19245,VADAPALANI EAST UHP,43833,Trustpuram 10th Cross street,Power House TNEB office,Kodambakkam,600024,24720078,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.058374,80.226082,12,,,,
80.22094,13.0382876,19247,KUMARAN NAGAR NORTH  UHP,1,Govindan Road,Sirinivasa Theatre Near Avanganathan Bridge,West Mambalam,600033,24742132,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.0382876,80.22094,12.62,,,,
80.236,13.085762,19248,PANNER SELVAM NAGAR UHP,100,Aspiran Garden,Division Office,Ayanavaram,600023,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE III,13.085762,80.236,13.55,,,,
80.21658,13.019903,19249,GUINDY WEST UHP,67,VGP salai,Near Velakanni College,Saidapet,600015,23711989,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.019903,80.21658,10.81,,,,
80.22478,13.075436,19250,SHENOY NAGAR UHP,43,Pulla Avenue,Pulla Avenue Corporation School,Shenoy nagar,600030,26263240,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.075436,80.22478,13.52,,,,
80.275981,13.063871,19253,GOVERNMENT KGH  UHP,24,Arunachalam STreet,Adam Market,Chepauk,600005,28413539,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE IX,13.063871,80.275981,11.36,,,,
80.266062,13.07026,19254,GOVERNMENT WOMEN AND CHILREN UHP,22,Langs Garden Street chennai-13,Near Chitra Theatre,Pudupet,600002,28419623,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XI,13.07026,80.266062,8.99,,,,
80.234277,13.030169,19255,VOC NAGAR UHP,54,4th Main Road,Nandham Masuthi,C.I.T Nagar,600035,24350701,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.030169,80.234277,8.35,,,,
80.220911,13.078632,19257,GOVERNMENT KMC HOSPITAL UHP,Bharathipuram,4th street,GYM School,SHenoy Nagar,600030,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.078632,80.220911,8.96,,,,
80.109955,13.030502,19607,MANGADU UPHC,11,KUNDRATHUR MAIN ROAD,,,602101,044-26493526,Primary Health Centre,Tamil Nadu,Kancheepuram,Sriperumbudur,Kundrathur,13.030502,80.109955,23,,,,
80.127594,12.924263,19656,POONDI BAZAAR UHP,PHC POONDI BAZAAR,,,,600059,,Primary Health Centre,Tamil Nadu,Kancheepuram,Tambaram,TAMBARAM MPTY,12.924263,80.127594,33.5787,,,,
80.142167,12.988495,19662,Polichalur,PHC Polichalur,,,,600074,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.988495,80.142167,17.8741,,,,
80.128786,12.983041,19666,ANUKAPUTHUR,PHC Anagaputhur,,,,600070,044-22486610,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.983041,80.128786,18.9921,,,,
80.1347,12.8401,19677,OTHIVAKKAM,,,,,603108,,Primary Health Centre,Tamil Nadu,Kancheepuram,Chengalpattu,Kattankolathur,12.8401,80.1347,28.7292,,,,
80.112054,12.924554,19685,WEST TAMBARAM UHP,WEST TAMBARAM  HP,,,WEST TAMBARAM,600045,,Primary Health Centre,Tamil Nadu,Kancheepuram,Tambaram,TAMBARAM MPTY,12.924554,80.112054,30.3692,,,,
80.196373,13.052033,19795,VIRUGAMBAKKAM   I  UHP,1,"Kamarajar Street ,Division Office",Achi School,Virugambakkam,600092,24794484,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.052033,80.196373,13.77,,,,
80.209531,12.874965,19796,Semmancheri PHC,Semmancheri,,,Semmancheri,600119,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.874965,80.209531,3.277,,,,
80.190472,13.101198,19801,PADI,5,Church Street,Britania Company Back Side,TMP Nagar,600050,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.101198,80.190472,16.33,,,,
80.200147,13.100923,19809,VILLIWAKKAM I UHP,1,"Agathiyar Nagar , Venugopal Street",Underground Bridge,villivakkam,600049,26500271,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VIII,13.100923,80.200147,12.16,,,,
80.202282,13.037377,19813,ASHOK  NAGAR  UHP,12420,35th Street,Pudur School,Ashok Nagar,600083,23712568,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.037377,80.202282,13.43,,,,
80.208328,13.027843,19821,KODAMBAKKAM  UHP,1,Ayyavoo 4th Street,Kasi Theatre,Jafferkhanpet,600083,24710210,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.027843,80.208328,9.23,,,,
80.213208,13.050239,19822,VADAPALANI  WEST UHP,1,Rajangam Mathya veethi,Vadapalani Bus Stand,Vadapalani,600026,23621865,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.050239,80.213208,14,,,,
80.21228,13.037377,19823,M G R NAGAR  UHP,1,62nd Street,Mahalir Police Station,Ashok Nagar,600083,23712451,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE X,13.037377,80.21228,13.43,,,,
80.180797,13.081312,19825,MUGAPAIR UHP,1,TVS COlony 1st main road,Chennai Public School,Mugappair East,600101,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VII,13.081312,80.180797,15.04,,,,
80.204941,13.109045,19832,KOLATHUR UHP,3,Srinivasa Nagar 3rd Main road,Don Bosco school,Kolathur-chennai 99,600099,26500651,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE VI,13.109045,80.204941,13.57,,,,
80.205061,13.003488,19834,ALANDUR UHP,56,Sowri Street,Near RTO office,Alandhur,600016,22320096,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XII,13.003488,80.205061,14,,,,
80.203353,12.993604,19843,ADAMBAKKAM UHP,1,"Mannadiamman Koil Street,",Dr. Ambethkar Statue near,Adambakkam,600088,044-22248060,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XII,12.993604,80.203353,11.17,,,,
80.205297,12.988983,19844,ADARSH  VELACHERY II UHP,4,"Sasthri Nagar 4th Street ,Adambakkam Chennai-88",Kakkan Bridge,Adambakkam,600088,,Primary Health Centre,Tamil Nadu,Chennai,\N,CHENNAI ZONE XIII,12.988983,80.205297,6.8,,,,
80.127861,12.974758,19920,Pammal,Pammal PHC,,,Pammal,,,Primary Health Centre,Tamil Nadu,Kancheepuram,Sholinganallur ,St. Thomas Mount CANTT,12.974758,80.127861,23.612,,,,
